Giorno,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto,"Totale Bianche","Totale Gialle","Totale Arancioni","Totale Rosse",mappa
2021-05-30,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,0,21,0,0,https://covid-19-zone.tsiotas.com/img/2021-05-24.png
2021-05-31,Gialla,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Gialla,3,18,0,0,https://covid-19-zone.tsiotas.com/img/2021-05-31.png
2021-06-01,Gialla,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Gialla,3,18,0,0,https://covid-19-zone.tsiotas.com/img/2021-05-31.png
2021-06-02,Gialla,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Gialla,3,18,0,0,https://covid-19-zone.tsiotas.com/img/2021-05-31.png
2021-06-03,Gialla,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Gialla,3,18,0,0,https://covid-19-zone.tsiotas.com/img/2021-05-31.png
2021-06-04,Gialla,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Gialla,3,18,0,0,https://covid-19-zone.tsiotas.com/img/2021-05-31.png
2021-06-05,Gialla,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Gialla,3,18,0,0,https://covid-19-zone.tsiotas.com/img/2021-05-31.png
2021-06-06,Gialla,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Gialla,3,18,0,0,https://covid-19-zone.tsiotas.com/img/2021-05-31.png
2021-06-07,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,7,14,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-07.png
2021-06-08,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,7,14,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-07.png
2021-06-09,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,7,14,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-07.png
2021-06-10,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,7,14,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-07.png
2021-06-11,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,7,14,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-07.png
2021-06-12,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,7,14,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-07.png
2021-06-13,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Gialla,Gialla,Gialla,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,7,14,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-07.png
2021-06-14,Bianca,Gialla,Gialla,Gialla,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,Gialla,Bianca,Bianca,Bianca,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,13,8,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-14.png
2021-06-15,Bianca,Gialla,Gialla,Gialla,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,Gialla,Bianca,Bianca,Bianca,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,13,8,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-14.png
2021-06-16,Bianca,Gialla,Gialla,Gialla,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,Gialla,Bianca,Bianca,Bianca,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,13,8,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-14.png
2021-06-17,Bianca,Gialla,Gialla,Gialla,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,Gialla,Bianca,Bianca,Bianca,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,13,8,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-14.png
2021-06-18,Bianca,Gialla,Gialla,Gialla,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,Gialla,Bianca,Bianca,Bianca,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,13,8,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-14.png
2021-06-19,Bianca,Gialla,Gialla,Gialla,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,Gialla,Bianca,Bianca,Bianca,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,13,8,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-14.png
2021-06-20,Bianca,Gialla,Gialla,Gialla,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,Gialla,Bianca,Bianca,Bianca,Bianca,Gialla,Gialla,Bianca,Gialla,Bianca,13,8,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-14.png
2021-06-21,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,20,1,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-21.png
2021-06-22,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,20,1,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-21.png
2021-06-23,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,20,1,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-21.png
2021-06-24,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,20,1,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-21.png
2021-06-25,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,20,1,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-21.png
2021-06-26,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,20,1,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-21.png
2021-06-27,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Gialla,Bianca,20,1,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-21.png
2021-06-28,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-06-29,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-06-30,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-01,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-02,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-03,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-04,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-05,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-06,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-07,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-08,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-09,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-10,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-11,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-12,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-13,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-14,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-15,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-16,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-17,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-18,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-19,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-20,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-21,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-22,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-23,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-24,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-25,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-26,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-27,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-28,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-29,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-30,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-07-31,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-08-01,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-08-02,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-08-03,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-08-04,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-08-05,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-08-06,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-08-07,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-08-08,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-08-09,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-08-10,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-08-11,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-08-12,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
2021-08-13,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,Bianca,21,0,0,0,https://covid-19-zone.tsiotas.com/img/2021-06-28.png
